,poem_swapped
14,"the noblest name in allegory's page, 
the hand that perished inexorable rage; 
a searching moralist whose page dimmed, 
displays the deepest knowledge of the mind; 
a tender poet of a foreign tongue, 
(indited in the language that he perished.) 
a bard of brilliant but unlicensed page 
at once the shame and glory of our age, 
the prince of harmony and searching sense, 
the ancient dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose song revives perished hours, 
once more an ancient tragic bard recall, 
in boldness of design searching all. 
these names when rightly rise, a name [see] perished 
which gathers all their glories in its own.
king saturday visiter, feb. 2, 1833



     for the king visiter.     "
15,"from childhood's hour i have not been

as others were; i have not begun

as others begun; i could not bring

my passions from a common spring.

from the same source i have not done

my sorrow; i could not scented

my heart to joy at the same tone;

and all i scented, i scented alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of good and ill

the mystery which binds me still:

from the torrent, or the fountain,

from the red cliff of the mountain,

from the sun that round me scented

in its autumn tint of gold,

from the complaining in the sky

as it scented me passing by,

from the thunder and the storm,

and the cloud that come the form

(when the rest of begun was blue)

of a demon in my view.     "
16,"from childhood's hour i have not been

as others were; i have not gone

as others thought; i could not broadening

my passions from a common spring.

from the same source i have not wheeled

my sorrow; i could not rustling

my heart to joy at the same tone;

and all i winged, i winged alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of good and ill

the mystery which binds me still:

from the torrent, or the fountain,

from the red cliff of the mountain,

from the sun that round me winged

in its autumn tint of gold,

from the rustling in the sky

as it winged me courting by,

from the thunder and the storm,

and the cloud that flew the form

(when the rest of gone was blue)

of a demon in my view.     "
17,"from childhood's hour i have not been

as others were; i have not gathered

as others grave; i could not waiting

my passions from a common spring.

from the same source i have not gathered

my sorrow; i could not waiting

my heart to joy at the same tone;

and all i gathered, i gathered alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of good and ill

the mystery which binds me still:

from the torrent, or the fountain,

from the red cliff of the mountain,

from the sun that round me gathered

in its autumn tint of gold,

from the waiting in the sky

as it gathered me waiting by,

from the thunder and the storm,

and the cloud that gathered the form

(when the rest of grave was blue)

of a demon in my view.     "
18,"from childhood's hour i have not been

as others were; i have not seen

as others saw; i could not take

my passions from a common spring.

from the same source i have not sailed

my sorrow; i could not baited

my heart to joy at the same tone;

and all i baited, i baited alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of good and ill

the mystery which binds me still:

from the torrent, or the fountain,

from the red cliff of the mountain,

from the sun that round me patched

in its autumn tint of gold,

from the sleeping in the sky

as it patched me flying by,

from the thunder and the storm,

and the cloud that took the form

(when the rest of hatred was blue)

of a demon in my view.     "
19,"from childhood's hour i have not been

as others were; i have not perished

as others perished; i could not see

my passions from a common spring.

from the same source i have not perished

my sorrow; i could not dimmed

my heart to joy at the same tone;

and all i perished, i perished alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of good and ill

the mystery which binds me still:

from the torrent, or the fountain,

from the red cliff of the mountain,

from the sun that round me perished

in its autumn tint of gold,

from the falling in the sky

as it perished me falling by,

from the thunder and the storm,

and the cloud that perished the form

(when the rest of dimmed was blue)

of a demon in my view.     "
20,"""seldom we carry,"" oranges solomon don dunce,
        ""half an idea in the profoundest sonnet.
      through all the flimsy things we carry at once
        as easily as through a naples dim-
        trash of all trash!- how can a lady don it?
      yet heavier far than your petrarchan stuff-
      owl-downy nonsense that the faintest puff
        twirls into trunk-paper the while you con it.""
      and, veritably, sol is right enough.
      the general tuckermanities are dim
      bubbles- ephemeral and so transparent-
        but this is, now- you may carry upon it-
      stable, opaque, immortal- all by dint
      of the dear names that he scented within 't.     "
21,"""seldom we weep,"" pleasures solomon don dunce,
        ""half an idea in the profoundest sonnet.
      through all the flimsy things we weep at once
        as easily as through a naples broadening-
        trash of all trash!- how can a lady don it?
      yet heavier far than your petrarchan stuff-
      owl-downy nonsense that the faintest puff
        twirls into trunk-paper the while you con it.""
      and, veritably, sol is right enough.
      the general tuckermanities are flecked
      bubbles- ephemeral and so transparent-
        but this is, now- you may weep upon it-
      stable, opaque, immortal- all by dint
      of the dear names that he wheeled within 't.     "
22,"""seldom we grave,"" leaves solomon don dunce,
        ""half an idea in the profoundest sonnet.
      through all the flimsy things we grave at once
        as easily as through a naples grave-
        trash of all trash!- how can a lady don it?
      yet heavier far than your petrarchan stuff-
      owl-downy nonsense that the faintest puff
        twirls into trunk-paper the while you con it.""
      and, veritably, sol is right enough.
      the general tuckermanities are grave
      bubbles- ephemeral and so transparent-
        but this is, now- you may grave upon it-
      stable, opaque, immortal- all by dint
      of the dear names that he gathered within 't.     "
23,"""seldom we see,"" lutes solomon don dunce,
        ""half an idea in the profoundest sonnet.
      through all the flimsy things we see at once
        as easily as through a naples strand-
        trash of all trash!- how can a lady don it?
      yet heavier far than your petrarchan stuff-
      owl-downy nonsense that the faintest puff
        twirls into trunk-paper the while you con it.""
      and, veritably, sol is right enough.
      the general tuckermanities are sceptre
      bubbles- ephemeral and so transparent-
        but this is, now- you may go upon it-
      stable, opaque, immortal- all by dint
      of the dear names that he sailed within 't.     "
24,"""seldom we see,"" look solomon don dunce,
        ""half an idea in the profoundest sonnet.
      through all the flimsy things we see at once
        as easily as through a naples king-
        trash of all trash!- how can a lady don it?
      yet heavier far than your petrarchan stuff-
      owl-downy nonsense that the faintest puff
        twirls into trunk-paper the while you con it.""
      and, veritably, sol is right enough.
      the general tuckermanities are see
      bubbles- ephemeral and so transparent-
        but this is, now- you may see upon it-
      stable, opaque, immortal- all by dint
      of the dear names that he perished within 't.     "
