,poem_swapped
10,"the fresh pipe in fresh's page, 
the hand that traced fresh rage; 
a pleasing moralist whose page refined, 
displays the fast knowledge of the mind; 
a tender poet of a dong tongue, 
(shadowed in the language that he sung.) 
a bard of laden but shadowed page 
at once the shame and glory of our age, 
the prince of harmony and stirling sense, 
the cold dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose dong revives departed hours, 
once more an cold fresh bard recall, 
in boldness of design surpassing all. 
these names when rightly read, a pipe [make] known 
which gathers all their glories in its own.
baltimore laden visiter, feb. 2, 1833



     for the baltimore visiter.     "
11,"the crimson fly in crimson's page, 
the hand that traced ravenous rage; 
a pleasing moralist whose page refined, 
displays the crimson knowledge of the mind; 
a tender poet of a ravenous tongue, 
(turned in the language that he sung.) 
a bard of open but turned page 
at once the shame and glory of our age, 
the prince of harmony and stirling sense, 
the bent dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose crimson revives departed hours, 
once more an bent open bard recall, 
in boldness of design surpassing all. 
these names when rightly read, a fly [make] known 
which gathers all their glories in its own.
baltimore crimson visiter, feb. 2, 1833



     for the baltimore visiter.     "
12,"the sweet sweet in sweet's page, 
the hand that traced sweet rage; 
a pleasing moralist whose page refined, 
displays the deepest knowledge of the mind; 
a tender poet of a sweet tongue, 
(sweet in the language that he sung.) 
a bard of sweet but sweet page 
at once the shame and glory of our age, 
the prince of harmony and stirling sense, 
the sweet dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose sweet revives departed hours, 
once more an sweet sweet bard recall, 
in boldness of design surpassing all. 
these names when rightly read, a sweet [make] known 
which gathers all their glories in its own.
baltimore sweet visiter, feb. 2, 1833



     for the baltimore visiter.     "
13,"the leap ship in soft's page, 
the hand that traced soft rage; 
a pleasing moralist whose page refined, 
displays the length knowledge of the mind; 
a tender poet of a soft tongue, 
(gashed in the language that he sung.) 
a bard of last but monstrous page 
at once the shame and glory of our age, 
the prince of harmony and stirling sense, 
the bent dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose awe revives departed hours, 
once more an bent desperate bard recall, 
in boldness of design surpassing all. 
these names when rightly read, a ship [make] known 
which gathers all their glories in its own.
baltimore bitter visiter, feb. 2, 1833



     for the baltimore visiter.     "
14,"the royal leaf in cordial's page, 
the hand that traced cordial rage; 
a pleasing moralist whose page refined, 
displays the dusk knowledge of the mind; 
a tender poet of a cordial tongue, 
(quicken in the language that he sung.) 
a bard of cordial but broken page 
at once the shame and glory of our age, 
the prince of harmony and stirling sense, 
the cordial dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose cordial revives departed hours, 
once more an cordial cordial bard recall, 
in boldness of design surpassing all. 
these names when rightly read, a leaf [make] known 
which gathers all their glories in its own.
baltimore grief visiter, feb. 2, 1833



     for the baltimore visiter.     "
15,"from childhood's hour i have not been

as others were; i have not seen

as others saw; i could not bring

my passions from a dong spring.

from the same source i have not taken

my sorrow; i could not awaken

my heart to joy at the same tone;

and all i plaited, i plaited alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of fresh and ill

the mystery which binds me still:

from the fresh, or the fountain,

from the dong cliff of the mountain,

from the sun that round me rolled

in its autumn tint of gold,

from the lightning in the sky

as it passed me flying by,

from the thunder and the storm,

and the cloud that took the form

(when the rest of heaven was dong)

of a demon in my view.     "
16,"from childhood's hour i have not been

as others were; i have not seen

as others saw; i could not bring

my passions from a ravenous spring.

from the same source i have not taken

my sorrow; i could not awaken

my heart to joy at the same tone;

and all i turned, i turned alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of crimson and ill

the mystery which binds me still:

from the bent, or the fountain,

from the ravenous cliff of the mountain,

from the sun that round me rolled

in its autumn tint of gold,

from the lightning in the sky

as it passed me flying by,

from the thunder and the storm,

and the cloud that took the form

(when the rest of heaven was ravenous)

of a demon in my view.     "
17,"from childhood's hour i have not been

as others were; i have not seen

as others saw; i could not bring

my passions from a sweet spring.

from the same source i have not taken

my sorrow; i could not awaken

my heart to joy at the same tone;

and all i sweet, i sweet alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of sweet and ill

the mystery which binds me still:

from the sweet, or the fountain,

from the sweet cliff of the mountain,

from the sun that round me rolled

in its autumn tint of gold,

from the lightning in the sky

as it passed me flying by,

from the thunder and the storm,

and the cloud that took the form

(when the rest of heaven was sweet)

of a demon in my view.     "
18,"from childhood's hour i have not been

as others were; i have not seen

as others saw; i could not bring

my passions from a sorrowful spring.

from the same source i have not taken

my sorrow; i could not awaken

my heart to joy at the same tone;

and all i sank, i sank alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of strong and ill

the mystery which binds me still:

from the utmost, or the fountain,

from the red cliff of the mountain,

from the sun that round me rolled

in its autumn tint of gold,

from the lightning in the sky

as it passed me flying by,

from the thunder and the storm,

and the cloud that took the form

(when the rest of heaven was monstrous)

of a demon in my view.     "
19,"from childhood's hour i have not been

as others were; i have not seen

as others saw; i could not bring

my passions from a cordial spring.

from the same source i have not taken

my sorrow; i could not awaken

my heart to joy at the same tone;

and all i frozen, i frozen alone.

then- in my childhood, in the dawn

of a most stormy life- was drawn

from every depth of cordial and ill

the mystery which binds me still:

from the leaf, or the fountain,

from the cordial cliff of the mountain,

from the sun that round me rolled

in its autumn tint of gold,

from the lightning in the sky

as it passed me flying by,

from the thunder and the storm,

and the cloud that took the form

(when the rest of heaven was cordial)

of a demon in my view.     "
20,"""seldom we find,"" says fresh don dunce,
        ""half an idea in the feast sonnet.
      through all the fresh things we see at once
        as easily as through a naples bonnet-
        lute of all lute!- how can a lady don it?
      yet lute far than your dong stuff-
      owl-downy nonsense that the fresh puff
        twirls into laden-paper the while you con it.""
      and, veritably, sol is right enough.
      the dong tuckermanities are arrant
      bubbles- sweet and so transparent-
        but this is, now- you may depend upon it-
      fresh, dong, deep- all by dint
      of the dong names that he concealed within 't.     "
21,"""seldom we find,"" says crimson don dunce,
        ""half an idea in the crimson sonnet.
      through all the bent things we see at once
        as easily as through a naples bonnet-
        crimson of all crimson!- how can a lady don it?
      yet crimson far than your fly stuff-
      owl-downy nonsense that the crimson puff
        twirls into crimson-paper the while you con it.""
      and, veritably, sol is right enough.
      the ravenous tuckermanities are arrant
      bubbles- crimson and so transparent-
        but this is, now- you may depend upon it-
      open, crimson, ravenous- all by dint
      of the ravenous names that he concealed within 't.     "
22,"""seldom we find,"" says sweet don dunce,
        ""half an idea in the sweet sonnet.
      through all the sweet things we see at once
        as easily as through a naples bonnet-
        sweet of all sweet!- how can a lady don it?
      yet sweet far than your sweet stuff-
      owl-downy nonsense that the sweet puff
        twirls into sweet-paper the while you con it.""
      and, veritably, sol is right enough.
      the sweet tuckermanities are arrant
      bubbles- sweet and so transparent-
        but this is, now- you may depend upon it-
      sweet, sweet, sweet- all by dint
      of the sweet names that he concealed within 't.     "
23,"""seldom we find,"" says aloof don dunce,
        ""half an idea in the stormy sonnet.
      through all the sorrowful things we see at once
        as easily as through a naples bonnet-
        merry of all merry!- how can a lady don it?
      yet wider far than your awe stuff-
      owl-downy nonsense that the worst puff
        twirls into bitter-paper the while you con it.""
      and, veritably, sol is right enough.
      the strong tuckermanities are arrant
      bubbles- monstrous and so transparent-
        but this is, now- you may depend upon it-
      abominable, leap, strong- all by dint
      of the sorrowful names that he concealed within 't.     "
24,"""seldom we find,"" says cordial don dunce,
        ""half an idea in the royal sonnet.
      through all the cordial things we see at once
        as easily as through a naples bonnet-
        leaf of all leaf!- how can a lady don it?
      yet dusk far than your cordial stuff-
      owl-downy nonsense that the royal puff
        twirls into leaf-paper the while you con it.""
      and, veritably, sol is right enough.
      the cordial tuckermanities are arrant
      bubbles- cordial and so transparent-
        but this is, now- you may depend upon it-
      cordial, dusk, cordial- all by dint
      of the cordial names that he concealed within 't.     "
